,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,Name
362,ORCHID PARK SECONDARY SCHOOL,10,YISHUN STREET 81,ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81 ORCHID PARK SECONDARY SCHOOL SINGAPORE 768454,768454,28505.3110986585,44124.4476742018,1.41532032779634,103.837859241343,Orchid Park Secondary School
363,UNITY SECONDARY SCHOOL,20,CHOA CHU KANG STREET 62,UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62 UNITY SECONDARY SCHOOL SINGAPORE 689143,689143,18284.9462911766,42432.2689475045,1.40001524119441,103.74602091483,Unity Secondary School
364,HONG WEN SCHOOL,30,TOWNER ROAD,HONG WEN SCHOOL,30 TOWNER ROAD HONG WEN SCHOOL SINGAPORE 327829,327829,30705.4493981982,33779.0355954058,1.32175999964553,103.857628468881,Hong Wen School
365,BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL),15,CEDAR AVENUE,BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL),15 CEDAR AVENUE BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL) SINGAPORE 349700,349700,32707.7091499828,35316.1469013225,1.33566084356265,103.87562006259,Cedar Primary School
366,CEDAR PRIMARY SCHOOL,15,CEDAR AVENUE,CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE CEDAR PRIMARY SCHOOL SINGAPORE 349700,349700,32707.8191135684,35308.1476785857,1.3355885014312,103.87562104944,Cedar Primary School
367,XINGNAN PRIMARY SCHOOL,5,JURONG WEST STREET 91,XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91 XINGNAN PRIMARY SCHOOL SINGAPORE 649036,649036,11822.0669615418,36078.0729275383,1.34254744877694,103.687950252103,Xingnan Primary School
368,SHG STUDENT CARE (XINGNAN PRIMARY SCHOOL),5,JURONG WEST STREET 91,SHG STUDENT CARE (XINGNAN PRIMARY SCHOOL),5 JURONG WEST STREET 91 SHG STUDENT CARE (XINGNAN PRIMARY SCHOOL) SINGAPORE 649036,649036,11781.8064267524,36095.6510288138,1.34270639669225,103.687588478681,Xingnan Primary School
369,DAMAI PRIMARY SCHOOL,52,BEDOK RESERVOIR CRESCENT,DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479226,479226,37788.0885467725,35294.1912929006,1.33546106800406,103.921270169613,Damai Primary School
370,SWISS COTTAGE SECONDARY SCHOOL,3,BUKIT BATOK STREET 34,SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34 SWISS COTTAGE SECONDARY SCHOOL SINGAPORE 659322,659322,18771.7135838792,38529.1941047609,1.36471742697475,103.750396136688,Swiss Cottage Secondary School
371,CANBERRA PRIMARY SCHOOL,21,ADMIRALTY DRIVE,CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714,757714,26057.0121687725,48097.4040875677,1.45125024371543,103.815858858929,Canberra Primary School
372,COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),9,BISHAN STREET 22,COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),9 BISHAN STREET 22 COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY) SINGAPORE 579767,579767,29212.1656484166,37386.9490167908,1.35438878373608,103.844210670766,Catholic High School (Primary)
373,NORTH SPRING PRIMARY SCHOOL,1,RIVERVALE STREET,NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET NORTH SPRING PRIMARY SCHOOL SINGAPORE 545088,545088,35777.2005732814,40999.8398870248,1.38706146494859,103.903202683028,North Spring Primary School
374,YANGZHENG PRIMARY SCHOOL,15,SERANGOON AVENUE 3,YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3 YANGZHENG PRIMARY SCHOOL SINGAPORE 556108,556108,31925.931594234,36751.9403087255,1.34864575840923,103.868595527042,Yangzheng Primary School
375,NORTHOAKS PRIMARY SCHOOL,61,SEMBAWANG DRIVE,NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE NORTHOAKS PRIMARY SCHOOL SINGAPORE 757622,757622,25872.0767556792,48689.8195981402,1.45660782030102,103.814196981329,Northoaks Primary School
376,WHEE!CANOPUS STUDENT CARE @ NORTHOAKS PRIMARY SCHOOL,61,SEMBAWANG DRIVE,WHEE!CANOPUS STUDENT CARE @ NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE WHEE!CANOPUS STUDENT CARE @ NORTHOAKS PRIMARY SCHOOL SINGAPORE 757622,757622,25815.4884597529,48691.586582493,1.45662379586093,103.813688476692,Northoaks Primary School
377,CLEMENTI PRIMARY SCHOOL,8,CLEMENTI AVENUE 3,CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903,129903,20190.2983410172,33038.6364921555,1.31506321827875,103.763144493687,Clementi Primary School
378,HUA YI SECONDARY SCHOOL,60,JURONG WEST STREET 42,HUA YI SECONDARY SCHOOL,60 JURONG WEST STREET 42 HUA YI SECONDARY SCHOOL SINGAPORE 649371,649371,15592.8322145641,37161.0913502462,1.35234365488339,103.721832320169,Hua Yi Secondary School
379,PEIRCE SECONDARY SCHOOL,10,SIN MING WALK,PEIRCE SECONDARY SCHOOL,10 SIN MING WALK PEIRCE SECONDARY SCHOOL SINGAPORE 575566,575566,27654.7276661592,38743.7738600355,1.36665944653812,103.83021606804,Peirce Secondary School
380,ACE @ WORK SCHOOLCARE PTE LTD (PEI CHUN PUBLIC SCHOOL),16,LORONG 7 TOA PAYOH,ACE @ WORK SCHOOLCARE PTE LTD (PEI CHUN PUBLIC SCHOOL),16 LORONG 7 TOA PAYOH ACE @ WORK SCHOOLCARE PTE LTD (PEI CHUN PUBLIC SCHOOL) SINGAPORE 319320,319320,30450.8965329072,35439.718033338,1.33677864390672,103.855341310212,Pei Chun Public School
381,PEI CHUN PUBLIC SCHOOL,16,LORONG 7 TOA PAYOH,PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH PEI CHUN PUBLIC SCHOOL SINGAPORE 319320,319320,30478.0803604238,35505.5040733535,1.33737358725951,103.855585578061,Pei Chun Public School
382,GREENWOOD PRIMARY SCHOOL,11,WOODLANDS DRIVE 62,GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942,737942,24818.0410170276,46842.3174743224,1.43989958331782,103.804725587384,Greenwood Primary School
383,SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),11,WOODLANDS DRIVE 62,SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),11 WOODLANDS DRIVE 62 SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL) SINGAPORE 737942,737942,24794.6262799157,46865.6384109538,1.4401104867196,103.804515180606,Greenwood Primary School
384,SAINT HILDA'S SECONDARY SCHOOL,2,TAMPINES STREET 82,SAINT HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82 SAINT HILDA'S SECONDARY SCHOOL SINGAPORE 528986,528986,39606.2556369342,36873.0704489276,1.34973922385379,103.937608032148,St. Hilda's Secondary School
385,DAZHONG PRIMARY SCHOOL,35,BUKIT BATOK STREET 31,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441,659441,18557.5702323942,37916.8722190689,1.3591797447277,103.74847210784,Dazhong Primary School
386,YUYING SECONDARY SCHOOL,47,HOUGANG AVENUE 1,YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1 YUYING SECONDARY SCHOOL SINGAPORE 538884,538884,34329.6638843575,37690.788632296,1.35713595302467,103.890194755287,Yuying Secondary School
387,WHEE!CANOPUS STUDENT CARE @ JUNYUAN PRIMARY SCHOOL,2,TAMPINES STREET 91,WHEE!CANOPUS STUDENT CARE @ JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91 WHEE!CANOPUS STUDENT CARE @ JUNYUAN PRIMARY SCHOOL SINGAPORE 528906,528906,39797.6365868924,36666.4453921858,1.34787050871599,103.939327626661,Junyuan Primary School
388,JUNYUAN PRIMARY SCHOOL,2,TAMPINES STREET 91,JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91 JUNYUAN PRIMARY SCHOOL SINGAPORE 528906,528906,39785.8491141181,36666.4713015798,1.34787074766746,103.939221709073,Junyuan Primary School
389,TEMASEK SECONDARY SCHOOL,600,UPPER EAST COAST ROAD,TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD TEMASEK SECONDARY SCHOOL SINGAPORE 465561,465561,40714.4313851139,33133.1948234718,1.31591673150616,103.947564112022,Temasek Secondary School
390,YISHUN PRIMARY SCHOOL,500,YISHUN RING ROAD,YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD YISHUN PRIMARY SCHOOL SINGAPORE 768679,768679,28085.526611778,46122.0615023617,1.43338602975674,103.834087115915,Yishun Primary School
391,CHONGZHENG PRIMARY SCHOOL,1,TAMPINES STREET 21,CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21 CHONGZHENG PRIMARY SCHOOL SINGAPORE 529392,529392,41141.094059418,36980.1959562805,1.35070739237744,103.951399541868,Chongzheng Primary School
392,BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1,TAMPINES STREET 21,BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1 TAMPINES STREET 21 BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL) SINGAPORE 529392,529392,41131.9416870372,36969.5707135443,1.35061130568554,103.951317297552,Chongzheng Primary School
393,SAINT ANDREW'S SECONDARY SCHOOL,15,FRANCIS THOMAS DRIVE,SAINT ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE SAINT ANDREW'S SECONDARY SCHOOL SINGAPORE 359342,359342,31664.831310045,34766.8795819897,1.33069360968075,103.866249138562,St. Andrew's Secondary School
394,YU NENG PRIMARY SCHOOL,56,BEDOK NORTH STREET 3,YU NENG PRIMARY SCHOOL,56 BEDOK NORTH STREET 3 YU NENG PRIMARY SCHOOL SINGAPORE 469623,469623,38998.3352306299,35120.4393246993,1.33388930344069,103.932144857355,Yu Neng Primary School
395,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),190,DUNEARN ROAD,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),190 DUNEARN ROAD SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY) SINGAPORE 309437,309437,27379.6878858209,33673.6731678378,1.32080725235992,103.827744749548,Singapore Chinese Girls' School
396,SINGAPORE CHINESE GIRLS' SCHOOL,190,DUNEARN ROAD,SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD SINGAPORE CHINESE GIRLS' SCHOOL SINGAPORE 309437,309437,27426.4538880838,33654.5249451734,1.3206340835184,103.828164966953,Singapore Chinese Girls' School
397,H.S. OF SINGAPORE CHINESE GIRLS' SCHOOL (HISTORIC SITE),,NIL,H.S. OF SINGAPORE CHINESE GIRLS' SCHOOL (HISTORIC SITE),H.S. OF SINGAPORE CHINESE GIRLS' SCHOOL (HISTORIC SITE),NIL,28638.5122923749,31638.2006904669,1.30239915719716,103.839055904985,Singapore Chinese Girls' School
398,QUEENSTOWN PRIMARY SCHOOL,310,MARGARET DRIVE,QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DRIVE QUEENSTOWN PRIMARY SCHOOL SINGAPORE 149303,149303,25132.029336133,30885.6966638304,1.29559365009015,103.807548617332,Queenstown Primary School
399,DAMAI SECONDARY SCHOOL,4800,BEDOK RESERVOIR ROAD,DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD DAMAI SECONDARY SCHOOL SINGAPORE 479229,479229,38435.9529452929,35456.4196343422,1.33692798510393,103.927091653438,Damai Secondary School
400,PARK VIEW PRIMARY SCHOOL,60,PASIR RIS DRIVE 1,PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1 PARK VIEW PRIMARY SCHOOL SINGAPORE 519524,519524,39821.3162899343,39929.5384668726,1.37738069854249,103.939541695654,Park View Primary School
401,HUAMIN PRIMARY SCHOOL,21,YISHUN AVENUE 11,HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL SINGAPORE 768857,768857,29215.4177919272,45412.9266837817,1.42697284512936,103.844240226564,Huamin Primary School
402,WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL,21,YISHUN AVENUE 11,WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11 WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL SINGAPORE 768857,768857,29212.0174563685,45411.3805951737,1.42695886300879,103.844209671353,Huamin Primary School
403,JING SHAN PRIMARY SCHOOL,5,ANG MO KIO STREET 52,JING SHAN PRIMARY SCHOOL,5 ANG MO KIO STREET 52 JING SHAN PRIMARY SCHOOL SINGAPORE 569228,569228,30093.7277568905,39360.0670565329,1.37223290983498,103.852132214306,Jing Shan Primary School
404,CHUNG CHENG HIGH SCHOOL (YISHUN),11,YISHUN STREET 61,CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61 CHUNG CHENG HIGH SCHOOL (YISHUN) SINGAPORE 768547,768547,28453.17758404,44556.321072707,1.41922603586175,103.837390782849,Chung Cheng High School (Yishun)
405,XISHAN PRIMARY SCHOOL,8,YISHUN STREET 21,XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21 XISHAN PRIMARY SCHOOL SINGAPORE 768611,768611,28493.7422212623,46131.5536631271,1.43347186925064,103.837755319448,Xishan Primary School
406,WHITLEY SECONDARY SCHOOL,30,BISHAN STREET 24,WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24 WHITLEY SECONDARY SCHOOL SINGAPORE 579747,579747,29027.6163034551,37460.2926999275,1.35505208480649,103.842552378136,Whitley Secondary School
407,ANG MO KIO PRIMARY SCHOOL,20,ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920,569920,28702.4804675551,39038.1602696702,1.36932176584608,103.839630858752,Ang Mo Kio Primary School
408,ANDERSON SECONDARY SCHOOL,10,ANG MO KIO STREET 53,ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53 ANDERSON SECONDARY SCHOOL SINGAPORE 569206,569206,30029.3897069497,39593.0597646087,1.37434001701177,103.851554107068,Anderson Secondary School
409,TECK GHEE PRIMARY SCHOOL,1,ANG MO KIO STREET 32,TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299,569299,29962.9602906732,38625.285902936,1.36558782075966,103.850957126982,Teck Ghee Primary School
410,CHONGFU SCHOOL,170,YISHUN AVENUE 6,CHONGFU SCHOOL,170 YISHUN AVENUE 6 CHONGFU SCHOOL SINGAPORE 768959,768959,28666.6613053558,46675.9986570273,1.43839562897006,103.839309173817,Chongfu School
411,SHG STUDENT CARE (CHONGFU SCHOOL),170,YISHUN AVENUE 6,SHG STUDENT CARE (CHONGFU SCHOOL),170 YISHUN AVENUE 6 SHG STUDENT CARE (CHONGFU SCHOOL) SINGAPORE 768959,768959,28640.1243954552,46683.3712114282,1.43846230429529,103.839070714229,Chongfu School
412,BUKIT VIEW PRIMARY SCHOOL,18,BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634,659634,19135.5884738322,36444.0823157039,1.34586054788695,103.75366641455,Bukit View Primary School
413,KRANJI PRIMARY SCHOOL,11,CHOA CHU KANG STREET 54,KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54 KRANJI PRIMARY SCHOOL SINGAPORE 689189,689189,18434.245239621,41718.5305804759,1.39356050497104,103.747362720939,Kranji Primary School
414,PALM VIEW PRIMARY SCHOOL,150,COMPASSVALE BOW,PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW PALM VIEW PRIMARY SCHOOL SINGAPORE 544822,544822,34458.6783197625,40635.7654705234,1.38376923022123,103.891354675017,Palm View Primary School
415,POI CHING SCHOOL,21,TAMPINES STREET 71,POI CHING SCHOOL,21 TAMPINES STREET 71 POI CHING SCHOOL SINGAPORE 529067,529067,39343.403805064,37747.9291978516,1.35765122315688,103.935246477199,Poi Ching School
416,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7,PEI WAH AVENUE,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE PEI HWA PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 597610,597610,21632.898745548,35581.0631004851,1.33805634613048,103.776106448614,Pei Hwa Presbyterian Primary School
417,SAINT GABRIEL'S PRIMARY SCHOOL,220,LORONG CHUAN,SAINT GABRIEL'S PRIMARY SCHOOL,220 LORONG CHUAN SAINT GABRIEL'S PRIMARY SCHOOL SINGAPORE 556742,556742,31254.358949963,36843.2848763354,1.34947192653862,103.862561037707,St. Gabriel's Primary School
418,CEDAR GIRLS' SECONDARY SCHOOL,1,CEDAR AVENUE,CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692,349692,32519.9675315833,35105.7372267004,1.33375800216334,103.873933064886,Cedar Girls' Secondary School
419,HOUGANG SECONDARY SCHOOL,2,HOUGANG STREET 93,HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93 HOUGANG SECONDARY SCHOOL SINGAPORE 534256,534256,33477.0592164416,39958.0252705514,1.37764019332164,103.882533963338,Hougang Secondary School
420,TEMASEK JUNIOR COLLEGE,22,BEDOK SOUTH ROAD,TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD TEMASEK JUNIOR COLLEGE SINGAPORE 469278,469278,39379.2891936116,33417.989127459,1.31849283027837,103.935567309385,Temasek Junior College
421,TAMPINES SECONDARY SCHOOL,252,TAMPINES STREET 12,TAMPINES SECONDARY SCHOOL,252 TAMPINES STREET 12 TAMPINES SECONDARY SCHOOL SINGAPORE 529427,529427,40346.96177861,36820.2178275529,1.34926094811197,103.944263709507,Tampines Secondary School
422,MAHA BODHI SCHOOL,10,UBI AVENUE 1,MAHA BODHI SCHOOL,10 UBI AVENUE 1 MAHA BODHI SCHOOL SINGAPORE 408931,408931,35565.4979411988,34521.1796176471,1.32847086658384,103.901298737314,Maha Bodhi School
423,MAHA BODHI SCHOOL,12,UBI AVENUE 1,MAHA BODHI SCHOOL,12 UBI AVENUE 1 MAHA BODHI SCHOOL SINGAPORE 408932,408932,35565.4979109308,34521.1795873791,1.32847086631012,103.901298737042,Maha Bodhi School
424,AFTER SCHOOL @ MAHA BODHI SCHOOL,10,UBI AVENUE 1,AFTER SCHOOL @ MAHA BODHI SCHOOL,10 UBI AVENUE 1 AFTER SCHOOL @ MAHA BODHI SCHOOL SINGAPORE 408931,408931,35566.4064952666,34533.273462953,1.32858023873554,103.901306904157,Maha Bodhi School
425,ANCHOR GREEN PRIMARY SCHOOL,31,ANCHORVALE DRIVE,ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969,544969,33992.4459471293,41365.6329499111,1.39036998654612,103.887165375933,Anchor Green Primary School
426,WEST GROVE PRIMARY SCHOOL,1,JURONG WEST STREET 72,WEST GROVE PRIMARY SCHOOL,1 JURONG WEST STREET 72 WEST GROVE PRIMARY SCHOOL SINGAPORE 649223,649223,13083.6706046276,36335.8187624309,1.3448790560014,103.699286360581,West Grove Primary School
427,XINGHUA PRIMARY SCHOOL,45,HOUGANG AVENUE 1,XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1 XINGHUA PRIMARY SCHOOL SINGAPORE 538882,538882,34360.61483486,37776.2619072273,1.35790893589535,103.890472887906,Xinghua Primary School
428,SPRINGDALE PRIMARY SCHOOL,71,ANCHORVALE LINK,SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK SPRINGDALE PRIMARY SCHOOL SINGAPORE 544799,544799,34299.680692099,41841.1254489459,1.39467010299293,103.889926221247,Springdale Primary School
429,INNOVA PRIMARY SCHOOL,80,WOODLANDS DRIVE 17,INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17 INNOVA PRIMARY SCHOOL SINGAPORE 737888,737888,23246.8971469188,45633.4723797198,1.42896700684852,103.790607539185,Innova Primary School
430,BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL),20,BOON LAY DRIVE,BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL),20 BOON LAY DRIVE BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL) SINGAPORE 649930,649930,14594.0803428125,36110.2863859087,1.34284013791617,103.712858381937,Boon Lay Garden Primary School
431,BOON LAY GARDEN PRIMARY SCHOOL,20,BOON LAY DRIVE,BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930,649930,14641.1027754331,36147.7026988044,1.34317853793318,103.713280889452,Boon Lay Garden Primary School
432,ANGLO-CHINESE SCHOOL (INDEPENDENT),121,DOVER ROAD,ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD ANGLO-CHINESE SCHOOL (INDEPENDENT) SINGAPORE 139650,139650,22106.5732889464,31782.5550005548,1.30370409257783,103.780363417671,Anglo-Chinese School (Independent)
433,HOUGANG PRIMARY SCHOOL,1,HOUGANG STREET 93,HOUGANG PRIMARY SCHOOL,1 HOUGANG STREET 93 HOUGANG PRIMARY SCHOOL SINGAPORE 534238,534238,33284.6782123018,39929.5216681417,1.37738245231461,103.880805274557,Hougang Primary School
434,WOODGROVE PRIMARY SCHOOL,2,WOODLANDS DRIVE 14,WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL SINGAPORE 738079,738079,23246.5605064044,46090.8542425744,1.43310340168966,103.790604437613,Woodgrove Primary School
435,COMMIT LEARNING SCHOOLHOUSE @ WOODGROVE PRIMARY SCHOOL,2,WOODLANDS DRIVE 14,COMMIT LEARNING SCHOOLHOUSE @ WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14 COMMIT LEARNING SCHOOLHOUSE @ WOODGROVE PRIMARY SCHOOL SINGAPORE 738079,738079,23204.9254116695,46050.2524968032,1.43273620725049,103.79023031392,Woodgrove Primary School
436,ZHENGHUA PRIMARY SCHOOL,9,FAJAR ROAD,ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD ZHENGHUA PRIMARY SCHOOL SINGAPORE 679002,679002,20877.0395431835,40169.1169131137,1.37954887512229,103.769313521752,Zhenghua Primary School
437,BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),30,BUKIT BATOK WEST AVENUE 3,BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163,659163,17694.7193374345,36812.396792436,1.34919098857585,103.740719208011,Princess Elizabeth Primary School
438,PRINCESS ELIZABETH PRIMARY SCHOOL,30,BUKIT BATOK WEST AVENUE 3,PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163,659163,17728.1546840398,36813.7803722396,1.349203512653,103.74101964471,Princess Elizabeth Primary School
439,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20,CLEMENTI AVENUE 1,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 CLEMENTI AVENUE 1 NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE SINGAPORE 129957,129957,20882.5747099025,32098.8705946617,1.30656448055686,103.769365156929,NUS High School of Mathematics and Science
440,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,30,CLEMENTI AVENUE 1,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,30 CLEMENTI AVENUE 1 NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE SINGAPORE 129958,129958,20969.725285151,32053.7735084854,1.30615665859431,103.770148255807,NUS High School of Mathematics and Science
441,PASIR RIS CREST SECONDARY SCHOOL,11,PASIR RIS STREET 41,PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41 PASIR RIS CREST SECONDARY SCHOOL SINGAPORE 518934,518934,42067.8542885976,39427.6259528883,1.37284060102246,103.959728202919,Pasir Ris Secondary School
442,PASIR RIS SECONDARY SCHOOL,390,TAMPINES STREET 21,PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21 PASIR RIS SECONDARY SCHOOL SINGAPORE 529400,529400,40869.8736143373,37369.4000635836,1.35422732653396,103.948962626204,Pasir Ris Secondary School
443,FORMER TAO NAN SCHOOL,39,ARMENIAN STREET,FORMER TAO NAN SCHOOL,39 ARMENIAN STREET FORMER TAO NAN SCHOOL SINGAPORE 179941,179941,29748.116507777,30746.1923441123,1.2943321052493,103.849026157822,Tao Nan School
444,TAO NAN SCHOOL,49,MARINE CRESCENT,TAO NAN SCHOOL,49 MARINE CRESCENT TAO NAN SCHOOL SINGAPORE 449761,449761,36706.7907984024,31957.4686842412,1.30528528687321,103.911553152326,Tao Nan School
445,SENG KANG PRIMARY SCHOOL,21,COMPASSVALE WALK,SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK SENG KANG PRIMARY SCHOOL SINGAPORE 545166,545166,35394.8580362787,41269.1828696113,1.38949740422462,103.899767112047,Seng Kang Primary School
